0,1,2,Final_Marks
-2.0203636,8.080067,13.42272,5
-2.2176673,8.46134,12.134973,10
-3.759448,7.818008,13.11095,2
-2.6834087,7.545695,12.724183,3
-2.7994695,7.780207,12.591021,6
-2.7994695,7.780207,12.591021,6
-2.106223,8.403086,10.926226,3
-2.8320565,8.006367,12.407241,5
-2.8925335,8.10302,12.624183,1
-2.2030737,8.229746,11.943402,6
-3.1750572,6.8778405,12.404809,4
-2.080496,7.868158,11.692212,6
-2.5248237,8.823441,11.804834,3
-2.419924,8.682189,12.284082,4
-2.4523077,7.8979697,10.799974,0
-3.087586,8.376332,11.996476,5
-2.146725,8.125565,11.179742,4
-2.7008557,7.726733,11.6238365,5
-1.4208779,7.280397,11.230562,3
-2.4432666,7.210386,11.684376,3
-2.7455232,7.837417,12.573488,6
-2.6175463,7.57414,12.328869,5
-2.1962788,8.221823,11.904959,5
-2.1518495,8.32962,13.484715,2
-2.135201,8.322685,13.475288,4
-1.9504019,7.7757783,11.675642,4
-2.5381145,7.4429064,12.218148,6
-3.17799,7.7158785,13.231908,3
-2.4611642,8.953102,12.499354,3
-1.9144287,7.32,11.255338,4
-2.5827448,6.4325166,11.850368,3
-1.9517955,6.729,10.903933,3
-2.7597075,8.763031,12.216605,3
2.827177,-2.0511293,-4.220362,4
2.8275614,-2.051206,-4.219962,4
2.8314767,-2.0448337,-4.2235446,3
2.828059,-2.050522,-4.220188,4
2.829143,-2.0514781,-4.219926,4
2.832349,-2.0501366,-4.220784,10
1.0790291,7.0483894,-14.651491,10
1.5001525,6.993365,-14.811913,10
1.2209512,7.691356,-15.402462,10
0.7634238,7.9390907,-16.315441,10
1.2035882,6.997483,-14.205939,9
1.5303447,7.0036044,-14.772782,9
1.5698391,8.183118,-16.002235,9
0.8981183,8.012588,-15.190724,9
0.9492922,7.386854,-16.076855,8
1.6133066,7.032757,-14.926825,8
1.605665,8.397539,-16.361483,8
0.51951057,8.566709,-16.151169,8
0.9583304,7.3908086,-16.127556,7
1.5331119,6.9905334,-14.697042,7
1.5955124,8.532667,-16.510492,7
0.45203704,8.731524,-16.342216,7
1.0321263,7.271067,-15.813117,6
1.5266895,6.9962525,-14.690783,6
1.5928563,8.526085,-16.524796,6
0.45026782,8.741431,-16.345968,6
1.0537707,7.260215,-15.8124695,5
1.5345725,6.9905944,-14.708294,5
1.6036181,8.519137,-16.544891,5
0.4552454,8.74868,-16.36513,5
1.1215707,6.941684,-16.035213,4
1.7088693,7.028694,-15.14026,4
1.6425242,8.334129,-16.40298,4
0.45633796,8.747301,-16.381872,4
1.1340001,6.91627,-16.07459,3
1.7322544,7.0121107,-15.156444,3
1.6539203,8.333476,-16.42741,3
0.44738412,8.756926,-16.394869,3
1.0330373,7.03116,-16.47706,2
1.932559,6.889938,-15.529817,2
1.8704838,8.021971,-16.181019,2
1.0994713,7.8482885,-14.795381,2
1.5143532,6.812606,-16.930254,1
1.9703459,6.583518,-16.891163,1
1.6162038,7.2862906,-17.37388,1
1.534893,7.2518415,-17.468824,1
-13.966202,6.9263215,-4.995819,10
-13.999541,6.874352,-5.1009574,10
-13.92894,6.7621613,-5.4877553,10
-13.6079855,6.6873784,-5.156253,10
-13.95069,6.9496446,-4.9155126,9
-14.227034,6.8236094,-5.168124,9
-14.074015,6.8223014,-5.584639,9
-13.593742,6.698285,-5.1171727,9
-13.94273,6.657161,-4.494004,8
-14.350156,6.5515037,-5.153865,8
-14.589107,6.9142184,-4.471515,8
-13.705455,6.2519164,-5.724727,8
-13.912017,6.6086483,-4.4741573,7
-15.080616,5.656264,-5.135008,7
-15.422335,6.1162996,-4.450025,7
-13.777726,5.6014724,-6.3147497,7
